"","name","fy","fp","AccountsPayableCurrent","AccountsReceivableNetCurrent","AccumulatedOtherComprehensiveIncomeLossNetOfTax","CashAndCashEquivalentsAtCarryingValue","CommonStockParOrStatedValuePerShare","CommonStockSharesAuthorized","CommonStockSharesIssued","CommonStockSharesOutstanding","ComprehensiveIncomeNetOfTax","DepreciationAndAmortization","DepreciationDepletionAndAmortization","NetIncomeLoss","OperatingIncomeLoss","PropertyPlantAndEquipmentNet","RetainedEarningsAccumulatedDeficit","WeightedAverageNumberOfSharesOutstandingBasic"
"1174","CAPITOL FEDERAL FINANCIAL INC","2014","Q2",NA,NA,NA,NA,0.01,1.4e+09,145480580.5,145480580.5,24838250,NA,NA,NA,NA,NA,NA,NA
"1175","CAPITOL FEDERAL FINANCIAL INC","2014","Q3",NA,NA,NA,NA,0.01,1.4e+09,145099635.5,NA,30796000,NA,NA,NA,NA,NA,387019500,NA
"1176","CAPITOL FEDERAL FINANCIAL INC","2015","Q1",NA,NA,NA,305508250,0.01,1.4e+09,140802280.5,140802280.5,18180500,NA,NA,NA,NA,70763500,333559000,NA
"1177","CAPITOL FEDERAL FINANCIAL INC","2015","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138262126
"1178","CAPITOL FEDERAL FINANCIAL INC","2015","Q3",NA,NA,NA,NA,NA,NA,NA,NA,39503000,NA,NA,NA,NA,NA,NA,NA
"1179","CAPITOL FEDERAL FINANCIAL INC","2016","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77497500,284822500,NA
"1180","CAPITOL FEDERAL FINANCIAL INC","2016","Q3",NA,NA,NA,445742750,0.01,NA,NA,137171372,40059250,NA,NA,NA,NA,NA,NA,134455519.5
"1181","CAPITOL FEDERAL FINANCIAL INC","2017","Q1",NA,NA,NA,359327500,NA,1.4e+09,NA,NA,NA,NA,NA,NA,NA,83529500,NA,NA
"1182","CAPITOL FEDERAL FINANCIAL INC","2017","Q2",NA,NA,NA,374698500,0.01,NA,NA,137836953.5,31382500,NA,NA,NA,NA,NA,258756500,133449087.5
"1183","CAPITOL FEDERAL FINANCIAL INC","2018","Q1",NA,NA,2996000,203275750,NA,NA,NA,NA,NA,NA,NA,NA,NA,84704500,NA,NA
"1184","CAPITOL FEDERAL FINANCIAL INC","2018","Q2",NA,NA,4038500,NA,0.01,1.4e+09,NA,NA,NA,NA,NA,NA,NA,NA,230960500,NA
"1185","CAPITOL FEDERAL FINANCIAL, INC.","2019","Q2",NA,NA,NA,178553000,0.01,1.4e+09,141252377.5,141252377.5,NA,NA,NA,NA,NA,96248500,NA,NA
"1186","CAPITOL FEDERAL FINANCIAL, INC.","2019","Q3",NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,37343000,NA,NA,NA,136067024.75
"1187","CARD ACTIVATION TECHNOLOGIES INC","2012","Q3",2226540.5,NA,NA,NA,NA,3e+08,180513281.5,180513281.5,NA,NA,NA,NA,NA,NA,-3412049.5,NA
"1188","CARDINAL ETHANOL LLC","2011","Q3",NA,NA,-4088168.5,NA,NA,NA,NA,14606,NA,NA,6362307.5,NA,15741034,129949067,NA,NA
"1189","CARDINAL ETHANOL LLC","2012","Q1",101928,15918839.5,-3226976.5,NA,NA,NA,NA,14606,NA,NA,NA,3054661.5,4021367.5,124181292.5,NA,NA
"1190","CARDINAL ETHANOL LLC","2012","Q2",NA,18718655.5,NA,NA,NA,NA,NA,NA,6949819,NA,NA,NA,NA,NA,NA,NA
"1191","CARDINAL ETHANOL LLC","2012","Q3",2079160.5,15209270.5,-2925065.5,NA,NA,NA,NA,14606,9908360,NA,6425409,NA,NA,122508656.5,47755423,NA
"1192","CARDINAL ETHANOL LLC","2013","Q1",NA,NA,NA,NA,NA,NA,NA,14606,NA,NA,2174975,NA,NA,NA,NA,NA
"1193","CARDINAL ETHANOL LLC","2013","Q2",NA,22513733.5,-1723395,NA,NA,NA,NA,14606,6285747.25,NA,4324134,NA,6719700,115859465.5,NA,NA
"1194","CARDINAL ETHANOL LLC","2016","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66914598,NA
"1195","CARDINAL ETHANOL LLC","2016","Q3",NA,NA,NA,NA,NA,NA,NA,14606,NA,NA,NA,NA,NA,NA,NA,NA
"1196","CARDINAL ETHANOL LLC","2017","Q1",2984624.5,NA,NA,NA,NA,NA,NA,14606,NA,NA,NA,NA,4599594,NA,58675262.5,NA
"1197","CARDINAL ETHANOL LLC","2017","Q2",NA,11723719.5,NA,NA,NA,NA,NA,14606,NA,NA,NA,NA,NA,NA,58665312,NA
"1198","CARDINAL ETHANOL LLC","2018","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4590217.5,106665214.5,NA,NA
"1199","CARDINAL ETHANOL LLC","2018","Q2",3060651,NA,NA,NA,NA,NA,NA,NA,NA,NA,5470788,NA,NA,NA,52715506,NA
"1200","CARDINAL ETHANOL LLC","2019","Q2",NA,NA,NA,NA,NA,NA,NA,14606,NA,NA,NA,NA,532255.25,94975501.5,NA,NA
"1201","CARDIOGENICS HOLDINGS INC.","2011","Q3",NA,NA,-178866,1529592.5,NA,NA,NA,NA,NA,NA,46706.8,NA,-6281454.8,86382.5,NA,NA
"1202","CARDIOGENICS HOLDINGS INC.","2012","Q2",NA,5955,NA,869808.8,NA,NA,NA,NA,-694019,NA,NA,NA,NA,NA,NA,NA
"1203","CARDIOGENICS HOLDINGS INC.","2012","Q3",NA,4629,-166449,NA,0,6.5e+07,NA,NA,-930190,NA,50719.4,NA,-6766657.4,77437.5,NA,55033726.5
"1204","CARDIOGENICS HOLDINGS INC.","2014","Q3",NA,241,NA,NA,0,1.5e+08,NA,NA,NA,NA,6155.75,-737979.5,NA,NA,NA,58637776
"1205","CARDIOGENICS HOLDINGS INC.","2016","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-203396,37676.5,-49616716,NA
"1206","CAREFUSION CORP","2013","Q1",178500000,4.25e+08,NA,1.416e+09,0.01,1.2e+09,2.22e+08,NA,NA,46500000,46500000,7.7e+07,NA,NA,NA,NA
"1207","CARNIVAL CORP","2011","Q3",NA,NA,165500000,4.81e+08,NA,NA,NA,NA,1605750000,732750000,NA,NA,1.697e+09,3.2105e+10,NA,NA
"1208","CARNIVAL CORP","2017","Q1",6.91e+08,NA,NA,803250000,NA,NA,NA,NA,NA,4.31e+08,NA,NA,4.01e+08,32378500000,NA,NA
"1209","CARNIVAL CORP","2017","Q2",701500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3126e+10,21934500000,739250000
"1210","CARNIVAL CORP","2017","Q3",NA,NA,NA,737250000,NA,NA,NA,NA,NA,NA,NA,1.746e+09,NA,33300500000,22454500000,NA
"1211","CARNIVAL CORP","2018","Q2",NA,NA,-1818500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,726250000,NA,2.3428e+10,NA
"1212","CARNIVAL CORP","2019","Q2",7.61e+08,NA,NA,NA,NA,NA,NA,NA,493750000,778250000,NA,NA,738500000,3.6075e+10,2.5102e+10,7.03e+08
"1213","CASPIAN SERVICES INC","2012","Q2",NA,10214500,NA,5831500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1214","CASPIAN SERVICES INC","2014","Q3",NA,10741500,NA,NA,0.001,5e+08,52657574,52657574,NA,2339250,3551500,-7066000,NA,NA,NA,NA
"1215","CASPIAN SERVICES INC","2016","Q1",NA,5073000,NA,910500,NA,NA,52657574,NA,-4998000,NA,NA,NA,NA,NA,-101188500,NA
"1216","CASPIAN SERVICES INC","2016","Q2",NA,4385500,-18265000,1234000,0.001,NA,52657574,NA,NA,1476500,1972000,NA,-2765750,NA,NA,NA
"1217","CASSIDY VENTURES INC.","2017","Q1",47157,NA,NA,NA,NA,5e+08,NA,NA,NA,NA,NA,NA,-51432,NA,-19035556.5,1.48e+08
"1218","CASTLE HOLDING CORP","2014","Q1",NA,NA,NA,NA,0.0025,1e+08,37629510,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1219","CBDMD, INC.","2019","Q3",NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,-22734101.5,NA,NA,NA,13367343.5
"1220","CBDMD, INC.","2020","Q1",NA,NA,NA,5166340.75,NA,NA,27720356,27720356,NA,NA,NA,NA,-3602107.5,NA,NA,NA
"1221","CC HOLDINGS GS V LLC","2017","Q3",NA,2568000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63310500,NA,0,NA
"1222","CD INTERNATIONAL ENTERPRISES, INC.","2012","Q2",NA,NA,NA,NA,NA,NA,NA,NA,4704013.5,NA,NA,NA,NA,NA,NA,NA
"1223","CD INTERNATIONAL ENTERPRISES, INC.","2013","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,507904,NA,240071.5,NA,NA,NA,46517857.5
"1224","CD INTERNATIONAL ENTERPRISES, INC.","2016","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-447347,59623.5,-94641396.5,NA
"1225","CD INTERNATIONAL ENTERPRISES, INC.","2016","Q3",1009981.5,NA,NA,19104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1226","CD INTERNATIONAL ENTERPRISES, INC.","2017","Q1",920853.5,NA,NA,9953,NA,NA,NA,NA,NA,NA,NA,NA,NA,1265,NA,NA
"1227","CD INTERNATIONAL ENTERPRISES, INC.","2017","Q2",935995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-112392777.5,15892773.75
"1228","CDEX INC","2011","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8549,NA,-390243,63879,NA,75719285.25
"1229","CDEX INC","2012","Q1",NA,25259,NA,NA,NA,NA,NA,109984030,NA,NA,NA,-423284.5,-212292,85611.5,NA,88608206.5
"1230","CDEX INC","2012","Q2",NA,20520.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81273.5,NA,NA
"1231","CDEX INC","2012","Q3",NA,23449,NA,NA,0.005,3e+08,NA,109984030,NA,NA,24793,NA,NA,76935.5,-33563219,98166214
"1232","CDEX INC","2013","Q1",NA,NA,NA,NA,0.005,3e+08,NA,29963646.5,NA,NA,7033.5,NA,NA,NA,NA,NA
"1233","CDEX INC","2013","Q2",NA,NA,NA,NA,NA,3e+08,NA,29963646.5,NA,NA,16022.5,NA,NA,57320,NA,29596211
"1234","CEL SCI CORP","2011","Q3",NA,NA,NA,25296868.25,NA,NA,NA,207726860.5,NA,273654,NA,NA,-8866460.75,1181255,NA,205265889.75
"1235","CEL SCI CORP","2012","Q1",NA,NA,NA,13786209,NA,NA,NA,NA,NA,NA,NA,-4916082.5,-4379655,984566,-189302917.5,216840426.5
"1236","CEL SCI CORP","2012","Q2",723520,279397.5,NA,13459642.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1237","CEL SCI CORP","2012","Q3",NA,241495,NA,NA,0.01,5.25e+08,243812726,243812726,NA,270968.25,237271.25,NA,NA,881257.5,-193967620,229617485.25
"1238","CEL SCI CORP","2013","Q1",501561,86757,NA,5600063.75,0.01,6e+08,291011861,NA,NA,135937.5,NA,-2945729.5,NA,NA,NA,NA
"1239","CEL SCI CORP","2013","Q2",529342.5,NA,NA,5113941.75,0.01,6e+08,291173812.5,291173812.5,NA,184889.25,NA,NA,-6622787.75,604939,NA,NA
"1240","CEL SCI CORP","2014","Q2",1635201,104606,NA,5393492.5,NA,NA,NA,44650795,NA,NA,NA,-8700641.5,NA,456703,-221010567,42229138.5
"1241","CEL SCI CORP","2016","Q1",NA,NA,NA,8530947,NA,NA,121248836,NA,NA,NA,NA,NA,NA,NA,-273030572.5,NA
"1242","CEL SCI CORP","2016","Q3",4783035.5,NA,NA,7672422.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1243","CEL SCI CORP","2018","Q1",8034566.5,133045.5,NA,2454210.25,NA,NA,NA,NA,NA,NA,NA,NA,-4924719,16720215.5,NA,NA
"1244","CEL SCI CORP","2018","Q2",7941753,NA,NA,NA,0.01,6e+08,NA,NA,NA,NA,NA,NA,NA,NA,-305202391.5,NA
"1245","CEL SCI CORP","2019","Q3",NA,NA,NA,NA,0.01,NA,NA,NA,NA,499369,NA,-8549270,NA,NA,NA,NA
"1246","CEL SCI CORP","2020","Q1",NA,NA,NA,8705100.25,NA,NA,35613432.5,35613432.5,NA,NA,NA,NA,-5917232.5,NA,NA,NA
"1247","CELADON GROUP INC","2012","Q2",NA,62669000,NA,14269250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1248","CELLYNX GROUP, INC.","2013","Q1",NA,NA,NA,NA,0.001,2e+09,1457498081,1457498081,NA,740,NA,NA,NA,NA,NA,NA
"1249","CEMTREX INC","2011","Q3",NA,NA,NA,150344.666666667,NA,NA,NA,39822862,NA,17363.5,NA,NA,226261,53669.5,NA,39817012
"1250","CEMTREX INC","2012","Q3",436226,214690,NA,NA,NA,6e+07,39822862,39822862,NA,16643.5,NA,NA,NA,31291,199000.5,39822862
"1251","CEMTREX INC","2014","Q1",NA,NA,NA,NA,0.001,6e+07,40599129,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1252","CEMTREX INC","2014","Q2",1742526.5,2496822.5,63041.5,461094.5,NA,NA,NA,40599129,NA,NA,NA,426890.333333333,NA,NA,1516936.5,40599129
"1253","CEMTREX INC","2014","Q3",NA,2486693,NA,NA,0.001,6e+07,40599129,40599129,NA,101558,NA,714261.25,NA,NA,NA,40599129
"1254","CEMTREX INC","2015","Q2",NA,3976700.5,-290860,NA,NA,NA,NA,NA,1100662,NA,NA,NA,NA,NA,NA,NA
"1255","CEMTREX INC","2015","Q3",4642412,5390627.5,NA,NA,NA,NA,6825764,NA,1464566.25,NA,NA,NA,1380281,7643046.5,4803214,NA
"1256","CEMTREX INC","2016","Q1",4698521.5,6458502,NA,1282850.75,NA,NA,7403769,NA,270057.5,NA,NA,NA,NA,NA,6777052.5,NA
"1257","CEMTREX INC","2017","Q3",7879917,13127403.6666667,NA,5787538,NA,NA,NA,NA,NA,NA,NA,2142174,NA,17254232.5,12681683,NA
"1258","CEMTREX INC","2018","Q1",7274814,15146501.6666667,182030.5,8489828.5,NA,NA,NA,NA,NA,NA,NA,NA,1426632.5,21251428,NA,NA
"1259","CEMTREX INC","2018","Q2",6765660.5,NA,-246854,NA,0.001,2e+07,NA,NA,NA,NA,NA,NA,NA,NA,14995976,NA
"1260","CEMTREX INC","2018","Q3",NA,NA,NA,8960938.25,NA,NA,NA,NA,-498995,NA,NA,43341.25,1032299.5,25018303.5,13246830.5,10614218.5
"1261","CEMTREX INC","2019","Q2",9112654,NA,NA,NA,NA,NA,13730507,13730507,-1951835.5,1698587.75,NA,NA,-1594567.5,26314942,1703783.5,12246155.25
"1262","CENTRAL GARDEN & PET CO","2011","Q3",NA,NA,931333.333333333,69996000,NA,NA,NA,15611600.3333333,NA,NA,21512500,NA,73164500,166273333.333333,NA,60086000
"1263","CENTRAL GARDEN & PET CO","2012","Q1",NA,NA,NA,47274250,NA,NA,NA,NA,NA,NA,NA,-11341000,-8881500,174254000,45851000,NA
"1264","CENTRAL GARDEN & PET CO","2012","Q3",59502500,116435833.333333,1177333.33333333,19427875,NA,NA,NA,NA,NA,NA,14880500,13783375,NA,88802333.3333333,72685333.3333333,NA
"1265","CENTRAL GARDEN & PET CO","2013","Q1",63192500,82073833.3333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1266","CENTRAL GARDEN & PET CO","2014","Q1",NA,81355333.3333333,1488666.66666667,11616625,0.01,NA,NA,NA,-6983500,NA,NA,NA,-5362250,NA,NA,NA
"1267","CENTRAL GARDEN & PET CO","2015","Q2",61733500,NA,941666.666666667,NA,NA,NA,NA,NA,15538937.5,NA,NA,NA,NA,NA,NA,NA
"1268","CENTRAL GARDEN & PET CO","2015","Q3",NA,105166333.333333,NA,NA,NA,NA,NA,NA,18707125,NA,NA,18604250,25295125,NA,99072666.6666667,NA
"1269","CENTRAL GARDEN & PET CO","2017","Q1",61123500,98122000,-1055000,19519125,NA,NA,NA,NA,NA,NA,9520500,2403875,7177750,82001333.3333333,145341333.333333,49115500
"1270","CENTRAL GARDEN & PET CO","2017","Q2",62902500,147479833.333333,NA,NA,NA,NA,NA,NA,NA,NA,14512500,NA,NA,NA,NA,NA
"1271","CENTRAL GARDEN & PET CO","2017","Q3",NA,NA,NA,48759750,NA,NA,NA,NA,NA,NA,NA,45743000,NA,165146000,187227666.666667,NA
"1272","CENTRAL GARDEN & PET CO","2018","Q2",132016333.333333,NA,-1094000,65953250,0.01,NA,NA,NA,48503000,NA,16021500,NA,NA,NA,250987000,NA
"1273","CENTRAL GARDEN & PET CO","2019","Q1",125342666.666667,253735333.333333,NA,NA,0.01,NA,NA,NA,13910000,NA,11757500,NA,NA,NA,331075000,53816500
"1274","CENTRAL GARDEN & PET CO","2019","Q2",NA,NA,NA,314698333.333333,0.01,NA,NA,NA,NA,NA,NA,NA,NA,215249333.333333,NA,NA
"1275","CENTRAL GARDEN & PET CO","2020","Q2",164571000,405749666.666667,-1533666.66666667,386342666.666667,0.01,NA,NA,NA,NA,NA,NA,41894000,67190500,NA,NA,NA
"1276","CERENCE INC.","2020","Q1",NA,NA,NA,NA,NA,NA,36403284,36403284,NA,NA,NA,NA,356000,NA,NA,NA
"1277","CERES, INC.","2012","Q3",NA,935500,-87500,NA,0.01,257500000,13253617.5,13250709,NA,NA,NA,NA,NA,5974000,-224057000,NA
"1278","CERES, INC.","2013","Q1",1482500,1126500,NA,18722500,0.01,4.9e+08,24675507.5,NA,NA,NA,NA,-7217000,NA,NA,NA,NA
"1279","CERES, INC.","2014","Q1",NA,874333.333333333,-479333.333333333,17768000,0.01,4.9e+08,24958393,NA,-18447857.1428571,NA,NA,-7549500,-12991916.6666667,NA,NA,NA
"1280","CERES, INC.","2014","Q2",1397500,859000,-671500,12716250,NA,NA,NA,NA,-12065250,NA,NA,NA,-11900500,4531000,-282299000,NA
"1281","CERES, INC.","2014","Q3",NA,708500,NA,NA,0.01,323333333.333333,36550917,36550917,NA,NA,1327500,-16347250,NA,NA,NA,NA
"1282","CERES, INC.","2015","Q2",NA,351500,-726000,NA,NA,NA,NA,NA,-11337750,NA,NA,NA,NA,NA,NA,NA
"1283","CERES, INC.","2015","Q3",NA,662666.666666667,NA,NA,NA,NA,5056159,NA,-26979400,NA,NA,NA,-15048769.2307692,3332666.66666667,-300792000,NA
"1284","CERES, INC.","2016","Q1",2007000,712500,NA,4802500,NA,NA,8830700,NA,-4694000,NA,NA,NA,NA,NA,-333770500,NA
"1285","CERES, INC.","2016","Q2",NA,NA,824500,5519500,NA,NA,12758200,NA,-6997000,NA,NA,NA,-8156750,NA,NA,NA
"1286","CERULEAN GROUP, INC.","2013","Q2",2080,NA,NA,2554,NA,7.5e+07,5e+06,NA,NA,NA,NA,-6390,-8425.66666666667,NA,-6178,5e+06
"1287","CERULEAN GROUP, INC.","2014","Q1",NA,NA,NA,NA,NA,7.5e+07,6190000,NA,NA,NA,NA,-24040.3333333333,NA,NA,NA,NA
"1288","CESCA THERAPEUTICS INC.","2015","Q2",3379000,4631500,23500,NA,NA,NA,NA,NA,-4412250,NA,NA,NA,NA,NA,NA,NA
"1289","CHAMPION INDUSTRIES INC","2011","Q3",NA,NA,NA,289820.5,NA,NA,NA,10643720.5,1442410,NA,3148289.5,NA,2130212.5,21360737.5,NA,10049750
"1290","CHAMPION INDUSTRIES INC","2012","Q1",5636903,17616571.5,NA,7422.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,19434225,NA,10644000
"1291","CHAMPION INDUSTRIES INC","2012","Q2",NA,17715049.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19031256,NA,NA
"1292","CHAMPION INDUSTRIES INC","2012","Q3",4409555,14167581.5,NA,NA,1,2e+07,11299528,11299528,NA,NA,1931772.25,NA,NA,16159283.5,-24486007.5,NA
"1293","CHAMPION INDUSTRIES INC","2013","Q1",NA,NA,NA,2805095,NA,NA,NA,NA,NA,NA,870116,NA,NA,NA,NA,NA
"1294","CHAMPION INDUSTRIES INC","2013","Q2",NA,NA,NA,NA,NA,NA,NA,11299528,-11827502.5,NA,1299426.5,NA,NA,13810564,NA,11300000
"1295","CHAMPION INDUSTRIES INC","2013","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7208650.75,NA,NA,NA,NA
"1296","CHAMPION INDUSTRIES INC","2014","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,534142,NA,NA,NA,NA,NA
"1297","CHAMPION INDUSTRIES INC","2014","Q2",6298096,9613895.5,NA,1538541,NA,NA,NA,NA,NA,NA,NA,-1579570.75,-410453.5,NA,NA,NA
"1298","CHAMPION INDUSTRIES INC","2014","Q3",5659982.5,NA,NA,900454.5,1,2e+07,11299528,11299528,NA,NA,1038228.25,NA,NA,NA,NA,NA
"1299","CHAMPION INDUSTRIES INC","2015","Q1",4874275,9288873.5,NA,701285.5,NA,NA,NA,NA,NA,NA,461537,NA,NA,NA,NA,NA
"1300","CHAMPION INDUSTRIES INC","2015","Q2",5027382.5,9712677.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1301","CHAMPION INDUSTRIES INC","2015","Q3",4829184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-449813.75,6459827,-32909480.5,NA
"1302","CHAMPION INDUSTRIES INC","2016","Q1",NA,NA,NA,438433.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-33699848,NA
"1303","CHAMPION INDUSTRIES INC","2016","Q2",4902982.5,8825147.5,NA,696116.5,NA,NA,NA,NA,NA,NA,623521.25,NA,127137,NA,NA,NA
"1304","CHARTER FINANCIAL CORP","2014","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,385540,NA,NA,NA,NA,NA
"1305","CHARTER FINANCIAL CORP","2014","Q2",NA,NA,NA,171847918.75,NA,NA,NA,NA,NA,NA,NA,3195642,NA,NA,NA,NA
"1306","CHARTER FINANCIAL CORP","2014","Q3",NA,NA,-1120533.83333333,152551591,0.01,NA,21356092.5,21356092.5,NA,NA,NA,NA,NA,NA,NA,NA
"1307","CHARTER FINANCIAL CORP","2015","Q1",NA,NA,NA,116728740.25,0.01,NA,16962609,16962609,NA,NA,NA,3088568,NA,20443823,112362496.5,NA
"1308","CHARTER FINANCIAL CORP","2015","Q3",NA,NA,NA,NA,0.01,NA,17332650,17332650,NA,NA,1082925,NA,NA,NA,NA,NA
"1309","CHARTER FINANCIAL CORP","2016","Q3",NA,NA,NA,68966128.5,0.01,NA,NA,15529365,NA,NA,NA,NA,NA,NA,NA,15009030.75
"1310","CHARTER FINANCIAL CORP","2017","Q1",NA,NA,NA,NA,NA,NA,NA,15031001,NA,NA,NA,NA,NA,NA,125482617,14546498.5
"1311","CHARTER FINANCIAL CORP","2017","Q2",NA,NA,NA,85452068.25,0.01,NA,NA,15045846,NA,NA,NA,NA,NA,NA,126711403.5,14342100
"1312","CHARTER FINANCIAL CORP","2018","Q1",NA,NA,NA,NA,NA,NA,NA,15124101.5,NA,NA,487376.5,4721335,NA,NA,135866388,14307942
"1313","CHARTER FINANCIAL CORP","2018","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29352108.5,138019815.5,NA
"1314","CHARTER FINANCIAL CORP/GA","2011","Q3",NA,NA,NA,118038257,NA,NA,19859219,18590048,NA,NA,893684,NA,NA,21749727.5,NA,NA
"1315","CHARTER FINANCIAL CORP/GA","2012","Q1",NA,NA,NA,147254107.5,NA,NA,NA,NA,NA,NA,NA,1023095.66666667,NA,21706791.5,107756299,18085159
"1316","CHARTER FINANCIAL CORP/GA","2012","Q2",NA,NA,NA,136587264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1317","CHASE CORP","2012","Q1",NA,NA,NA,15497500,NA,NA,NA,NA,NA,NA,NA,2626000,3879000,28968500,83554000,8725373.5
"1318","CHASE CORP","2012","Q2",NA,17792000,NA,14312750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1319","CHASE CORP","2013","Q1",13446000,31297500,NA,14577000,0.1,2e+07,9033629.5,NA,NA,NA,NA,2933500,NA,NA,NA,NA
"1320","CHASE CORP","2013","Q2",11161000,NA,-5473000,13674250,0.1,2e+07,9037765.5,9037765.5,2782500,NA,NA,NA,5118750,48474000,NA,NA
"1321","CHASE CORP","2014","Q2",13758500,32287000,-3987000,23492000,NA,NA,NA,NA,7299750,NA,NA,NA,9112500,45088500,108335000,8897489.75
"1322","CHASE CORP","2014","Q3",NA,33209000,-3911500,26700250,0.1,2e+07,9088543.5,9088543.5,11286500,NA,NA,NA,15352500,44946500,NA,NA
"1323","CHASE CORP","2015","Q2",14393500,NA,-5599000,NA,NA,NA,NA,NA,8108000,NA,NA,NA,NA,NA,NA,NA
"1324","CHASE CORP","2016","Q3",15107000,NA,NA,47274250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1325","CHASE CORP","2017","Q1",12572500,NA,NA,NA,NA,2e+07,NA,9311522.5,NA,NA,NA,NA,12295500,NA,NA,9184979
"1326","CHATCHING INC.","2013","Q1",NA,NA,NA,NA,0,8e+08,404047619,404047619,NA,45197,NA,NA,NA,NA,NA,NA
"1327","CHERUBIM INTERESTS, INC.","2015","Q3",NA,NA,NA,NA,0.001,2e+08,73363440.5,73363440.5,NA,NA,NA,NA,NA,NA,NA,NA
"1328","CHERUBIM INTERESTS, INC.","2016","Q2",NA,NA,NA,7235.25,0,NA,1993677214,NA,NA,1220.5,NA,NA,-757243.25,NA,NA,NA
"1329","CHERUBIM INTERESTS, INC.","2016","Q3",NA,NA,NA,29472.25,0,NA,NA,1993677214,NA,NA,NA,NA,NA,NA,NA,NA
"1330","CHERUBIM INTERESTS, INC.","2017","Q2",107251,NA,NA,NA,NA,NA,NA,167342536.5,NA,NA,NA,NA,NA,NA,-5597126.5,NA
"1331","CHICOS FAS, INC.	5621	US	FL	FT MYERS	33966-1206	11215 METRO PKWY		2392776200	US	FL	FT MYERS	33966-1206	11215 METRO PKY		US	FL	592389435	CHICOS FAS INC	19930212	1-LAF	0	0131	10-Q	20190731	2019	Q2	20190828	2019-08-28 16:45:00.0	0	1	chs082919q210-q_htm.xml	1	
0000897429-19-000146	897429	CHICOS FAS, INC.","2019","Q3",NA,NA,NA,NA,0.01,NA,NA,NA,NA,46348000,NA,14986750,NA,NA,NA,119788250
"1332","CHIMERA ENERGY CORP","2012","Q1",NA,13350,NA,74920,NA,NA,NA,1e+07,NA,NA,NA,NA,NA,NA,NA,NA
"1333","CHIMERA ENERGY CORP","2012","Q2",NA,10460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1334","CHIMERA ENERGY CORP","2012","Q3",NA,9900,NA,NA,0.01,1e+08,NA,13250000,NA,NA,NA,NA,NA,NA,-51200.5,NA
"1335","CHINA CRAWFISH, LTD.","2018","Q1",NA,NA,NA,2192.5,0.001,2e+08,37304150,55434500,NA,NA,NA,-5025,-3775.5,NA,-35541,NA
"1336","CHINA CRAWFISH, LTD.","2018","Q3",509,NA,NA,67680.5,NA,NA,NA,NA,NA,NA,NA,-9587,-8962.25,NA,-44409,NA
"1337","CHINA DIRECT INDUSTRIES, INC.","2011","Q3",NA,NA,7855268.5,10187302.5,NA,NA,NA,NA,NA,2338340.5,NA,NA,2094002.25,37166033,NA,32507732
