name,fy,fp,AccountsPayableCurrent,AccountsReceivableNetCurrent,AccumulatedOtherComprehensiveIncomeLossNetOfTax,CashAndCashEquivalentsAtCarryingValue,CommonStockParOrStatedValuePerShare,CommonStockSharesAuthorized,CommonStockSharesIssued,CommonStockSharesOutstanding,ComprehensiveIncomeNetOfTax,DepreciationAndAmortization,DepreciationDepletionAndAmortization,NetIncomeLoss,OperatingIncomeLoss,PropertyPlantAndEquipmentNet,RetainedEarningsAccumulatedDeficit,WeightedAverageNumberOfSharesOutstandingBasic
JOHNSON OUTDOORS INC,2016,Q3,,,,67367500,,,,,8865250,,,,,,,
JOHNSON OUTDOORS INC,2018,Q1,33870666.67,63686000,,,,,,,,,,2145500,3754500,,157209000,
JOHNSON OUTDOORS INC,2018,Q2,38159666.67,97812333.33,2599000,,,,,,,,,,,50223666.67,168376666.7,
JOHNSON OUTDOORS INC,2018,Q3,,,,,,,,,29079250,,,30129000,,50443000,181126000,
JOHNSON OUTDOORS INC,2019,Q2,,,,76239500,,,,,,,,,30176750,55680000,,
JOHNSON OUTDOORS INC,2020,Q2,36377333.33,91962333.33,1393666.667,123947666.7,,,,,,,,23642750,33013750,,,
JOY GLOBAL INC,2010,Q3,,,,168847100,,,,,,,,,,,,
JOY GLOBAL INC,2012,Q1,,,,,,,,,,,21320500,122292000,,,,
JOY GLOBAL INC,2012,Q2,,1018302500,,,,,,,288343250,,,,,356431944.4,,
JOY GLOBAL INC,2013,Q1,,1186590500,,,,,,,,,,,,,,
JOY GLOBAL INC,2013,Q2,,,,163617500,,,,,273832500,,52890000,,188527045.5,391575909.1,,106097250
JOY GLOBAL INC,2014,Q1,,452767777.8,-518948500,148077687.5,,,,,24628333.33,,,95499000,69588111.11,,,104019000
JOY GLOBAL INC,2014,Q3,,438778000,,,,,,,,,60867000,238864250,,,,103341250
JOY GLOBAL INC,2015,Q1,,,-561160000,133078437.5,,,,,-12938388.89,,,,31102666.67,387825555.6,,
JOY GLOBAL INC,2015,Q2,,,-565252666.7,,,,,,20722583.33,,,,,,,
JOY GLOBAL INC,2015,Q3,,,,,,,,,,,68066250,,,,,
JOY GLOBAL INC,2016,Q3,,,,174200250,,,,,,,,,,,,
JOY GLOBAL INC,2017,Q1,,661919500,-155157750,299309000,,,,,,,33152000,-20249000,-23418500,649563500,,98382000
"JUQUN,INC.",2013,Q1,,,,,0.001,1.50E+08,49678580,,,,,,,,,
"JUQUN,INC.",2013,Q2,,,,,,1.50E+08,45883458.67,,,,,,,,,
"JV GROUP, INC.",2014,Q3,,,5312,19394.5,,7.00E+08,98879655,,-207016.25,72605.5,,,-208498.75,,,
"KAIVAL BRANDS INNOVATIONS GROUP, INC.",2019,Q3,,,,,0.001,,,,,,,-36227.5,,,,
"KAIVAL BRANDS INNOVATIONS GROUP, INC.",2020,Q2,,1606960,,492670.5,0.001,1.00E+09,572364574,572364574,,,,1389080.75,,,,
"KAT RACING, INC.",2012,Q2,1057,,,,,,,,,,,,,,,
"KAT RACING, INC.",2012,Q3,1057,,,,,7.00E+07,5749000,,,,,,,,-201022,
"KEURIG GREEN MOUNTAIN, INC.",2014,Q3,,425179000,-23598500,468574250,0.1,5.00E+08,156439202.5,156439202.5,259264250,,,,432759750,,,
"KEURIG GREEN MOUNTAIN, INC.",2015,Q2,345285000,,-70016500,,,,,,168357500,,,,,,,
"KEURIG GREEN MOUNTAIN, INC.",2016,Q1,282760500,545060500,,385454000,,,151198615.5,,91188500,,,,,,2042299000,
KEY TECHNOLOGY INC,2012,Q2,,9935000,,28055250,,,,,,,,,,,,
KEY TECHNOLOGY INC,2013,Q1,,,,,,,,,,,958000,,,,,
KEY TECHNOLOGY INC,2013,Q2,,13239500,,23650500,,,,,373000,,1985000,,658500,18235000,,5486000
KEY TECHNOLOGY INC,2014,Q1,,,,,,,,,,,1190500,,,,,
KEY TECHNOLOGY INC,2014,Q3,6390000,14428500,,18486000,,,,,-668000,,,,,,,
KEY TECHNOLOGY INC,2015,Q1,6059500,12023500,,10873500,,,,,,,1342500,,-3551000,,,
KEY TECHNOLOGY INC,2015,Q2,,12300500,,,,,,,-3264000,,,,,,,
KEY TECHNOLOGY INC,2015,Q3,8649500,,,,,,,,,,3968500,,,,,
KEY TECHNOLOGY INC,2016,Q3,,,,,,,,,-1308000,,,,,,,6308000
KEY TECHNOLOGY INC,2017,Q1,8072500,,,,,,,,,,,,-1147000,,,6318000
KEY TECHNOLOGY INC,2017,Q2,,14462500,,7699750,,,,,-754000,,,,,,,6356500
KEY TECHNOLOGY INC,2017,Q3,,15710500,,,,,,,,,,,2608750,,,6399500
KEYNOTE SYSTEMS INC,2011,Q3,,,4379500,34539750,,,,15740294.5,,,3278000,,4256750,33719000,,15421750
KEYNOTE SYSTEMS INC,2012,Q1,2933000,17217500,344500,40104000,,,,17294342,,,,,4559000,35047500,,16150000
KEYNOTE SYSTEMS INC,2012,Q3,2926500,16963000,-336500,,0.001,1.00E+08,17403383.5,17403383.5,4741250,,,,5546750,,-84825000,16785000
KEYNOTE SYSTEMS INC,2013,Q1,2362500,19234000,,41522500,0.001,1.00E+08,18064141.5,,,,,,,,,
"KEYSIGHT TECHNOLOGIES, INC.",2015,Q1,165500000,,,424250000,0.01,,,,,,2.10E+07,,,,,
"KEYSIGHT TECHNOLOGIES, INC.",2015,Q2,,,,,,,,,,,,,,,,167750000
"KEYSIGHT TECHNOLOGIES, INC.",2016,Q1,,,,,,,,,,,,,,5.16E+08,6.46E+08,169500000
"KEYSIGHT TECHNOLOGIES, INC.",2016,Q2,188500000,4.03E+08,-412500000,701750000,0.01,,170500000,,,,56500000,,160250000,,,
"KEYSIGHT TECHNOLOGIES, INC.",2017,Q3,1.85E+08,4.79E+08,-522333333.3,,,,,,,,,,150250000,,1.01E+09,1.76E+08
"KEYSIGHT TECHNOLOGIES, INC.",2018,Q1,2.20E+08,,-524500000,,,,,,,,,,,534500000,,
"KEYSIGHT TECHNOLOGIES, INC.",2018,Q2,225500000,,-518666666.7,,0.01,1.00E+09,,,,,1.15E+08,,110250000,,1.12E+09,
"KEYSIGHT TECHNOLOGIES, INC.",2018,Q3,,,,,0.01,1.00E+09,189500000,,,,,,,539500000,1183500000,184750000
"KEYSIGHT TECHNOLOGIES, INC.",2020,Q1,,,,1644500000,,,194500000,,,,,,,,,
"KEYSIGHT TECHNOLOGIES, INC.",2020,Q2,,576500000,-517333333.3,1719500000,0.01,1.00E+09,194500000,,,,,,224500000,,,
KIBUSH CAPITAL CORP,2016,Q2,,,,,,,,51599458,,7047,,,-228261.75,78219.5,,
KIBUSH CAPITAL CORP,2017,Q3,,,,25000,,,,,,,,-401954.25,,98333,-12395856.5,
KIBUSH CAPITAL CORP,2018,Q1,,,,,,,,,,4485,,,,119993.5,,
KIBUSH CAPITAL CORP,2019,Q2,,,,,,,443354541,443354541,,7594,,,-196622.25,109281.5,-13322412,
"KILLER WAVES HAWAII, INC",2016,Q2,,,,,,,,15720000,,,,,-20176,,,
"KILLER WAVES HAWAII, INC",2016,Q3,,,,15533.5,0.001,,,15720000,,,,,,,,
KINETIC GROUP INC.,2017,Q2,,,,,0.001,7.50E+07,,2750000,,,,,,,,
KINETIC GROUP INC.,2018,Q1,,2322.5,,,,,,,,,,,,3300,,
KINGFISH HOLDING CORP,2015,Q2,1594784,,,,,,,,,,,,,,,
KINGFISH HOLDING CORP,2016,Q3,,,,,1.00E-04,,,118835460,,,,,,,,118539649.8
KNIGHT KNOX DEVELOPMENT CORP.,2016,Q1,,,,,,,,,,,,,,,-38119.5,
KNIGHT KNOX DEVELOPMENT CORP.,2016,Q2,,,,10857.75,0.001,7.50E+07,7640000,7640000,,,,-9924.75,-9924.75,,-40664.5,
KNIGHT KNOX DEVELOPMENT CORP.,2016,Q3,,,,11982.75,0.001,,,7640000,,,,,,,,
KNIGHT KNOX DEVELOPMENT CORP.,2017,Q1,,,,,,7.50E+07,,7640000,,,,,-12368,,,
"KNOW LABS, INC.",2018,Q3,,,,340222.2,0.001,,,,,,,-2660466.667,-1696158.5,156180.2,-31575123.8,5365937
"KNOW LABS, INC.",2019,Q2,,,,857559.6,0.001,1.00E+08,14729964,14729964,,,,,,166691,,
"KNOW LABS, INC.",2020,Q1,,,,1162082.75,,,18417117.5,18417117.5,,,,,-1063372,,,
KOKOS GROUP INC.,2017,Q1,401,,,,,2.00E+08,,1.00E+07,,,,,9051,,-5195,1.00E+07
KOKOS GROUP INC.,2017,Q2,2000,,,7323,0.001,,,221400000,,,,,,,-9822.75,267184743
KOKOS GROUP INC.,2018,Q1,,,,,,,,,,,,-3987.5,-26792,,-26660.5,432800000
KOKOS GROUP INC.,2018,Q2,2750,,,,,,,,,,,,,,-30280.5,
KROGER CO,2011,Q2,,,-5.43E+08,,1,1.00E+09,9.59E+08,,,,,,,,8408500000,624500000
KROGER CO,2014,Q3,,,-597500000,331750000,1,1.00E+09,9.59E+08,,596750000,,,,1071750000,,,
KROGER CO,2015,Q2,,,-626500000,,,,,,5.83E+08,,,,,,,
KROGER CO,2016,Q2,,,-7.42E+08,2.97E+08,1,,1.92E+09,,,,6.57E+08,,1.15E+09,,,
KROGER CO,2017,Q2,,,,,,,,,476500000,,,,,,1.56E+10,9.34E+08
KROGER CO,2018,Q2,,,-4.63E+08,,1,2.00E+09,,,,,738500000,,8.30E+08,,17965500000,
"KURA SUSHI USA, INC.",2020,Q1,,,,35527000,,,,,,,,,-905500,,,
"KUSH BOTTLES, INC.",2016,Q1,,,,,,,,,,,,,-40024.5,219018,-745987,
"KUSH BOTTLES, INC.",2016,Q3,,,,177757.75,,,,,,,,,,,,
"KUSH BOTTLES, INC.",2018,Q1,,,,2373464.25,,,,,,,,,7231,928317.5,,
"KUSHCO HOLDINGS, INC.",2019,Q1,5184446,,,,0.001,2.65E+08,78415847.5,78415847.5,,,376226,,,,-14898641,68832655
"KUSHCO HOLDINGS, INC.",2020,Q2,,,,10135000,0.001,265000,104579.5,104579.5,,,,-24791666.67,-31582250,,,
KWIK FILL CORP,2014,Q2,35179333.33,74411666.67,-3630750,97509500,,,,,,,14745500,,,196231666.7,108109750,
KWIK FILL CORP,2015,Q3,,55697333.33,,,,,,,37377250,,,25885000,51448666.67,,,
LACLEDE GAS CO,2012,Q3,40036666.67,,-2216333.333,,,,11729.33333,,32207750,,,,56549500,,236389333.3,
LACLEDE GAS CO,2015,Q2,92716666.67,28275000,,21033333.33,,,,,79400000,,,,,,,
LACLEDE GROUP INC,2010,Q3,86452000,,-2529666.667,71963000,,22202836.67,7.00E+07,,,,,,,,,
LACLEDE GROUP INC,2011,Q1,118672666.7,,-6089333.333,,,22307151333,7.00E+10,,22213500,,,23127500,40707500,,,
LACLEDE GROUP INC,2011,Q2,105082333.3,,-5438000,,,22321392.33,7.00E+07,,,,,,,,377584000,22029500
LACLEDE GROUP INC,2012,Q3,93221666.67,,-3711666.667,53160250,,,,,,,,38441500,,5028000,405031333.3,
LACLEDE GROUP INC,2013,Q1,94936666.67,,,,,,,,,,,,,,,
LACLEDE GROUP INC,2014,Q1,,,-1701333.333,40379750,,7.00E+07,29337349.67,,30873000,,,,,,430639333.3,
LACLEDE GROUP INC,2014,Q2,,,,,,7.00E+07,29372374.67,,54291250,,,,,,450057333.3,
LACLEDE GROUP INC,2014,Q3,106425000,,-3350000,,1,6.00E+07,18987281.5,,45912500,,,,,,353900000,
LACLEDE GROUP INC,2016,Q1,,,,6391666.667,,,15119303.44,,42075000,,,,,,390011111.1,
LANDAUER INC,2012,Q2,,,,10132750,,,,,,,,,,,,
LANDAUER INC,2013,Q1,,,,,0.1,2.00E+07,9522223.5,9522223.5,,,2903000,,,,,
LANDAUER INC,2013,Q2,,,-6298000,13825000,0.1,2.00E+07,9527844,9527844,,,6003000,,12221500,54509500,,9379000
LANDAUER INC,2014,Q1,,,,,,,,,,,3672000,,,,,
LANDAUER INC,2014,Q3,,,,,0.1,2.00E+07,9596252.5,9596252.5,,,11233500,-20670000,,,,
LANDAUER INC,2015,Q1,5964500,,,8824000,0.1,,,,,,3405000,4099000,,,,
LANDAUER INC,2015,Q2,6564000,,-8131750,,,,,,,,,,,,,
LANDAUER INC,2015,Q3,5436500,,,,,,9620702.5,,,,,,-21243250,46728500,-18195500,
LANDAUER INC,2016,Q3,,,,,,,,9686351,,,,,,,,9509750
LANDAUER INC,2017,Q1,2731000,,,12645250,,2.00E+07,,,,,2737500,,6847000,46235000,,
LANDAUER INC,2017,Q2,,,,12671750,,,,9771007.5,,,,,,,-8415000,9528000
LANDAUER INC,2017,Q3,,,-14250500,,,,,9769466,,,,,15328000,,-6561000,9550250
LANDEC CORP \CA\,2013,Q1,24684000,31123000,,11900750,0.001,5.00E+07,25677282,,,,1605500,3089000,,,,
"LANS HOLDINGS, INC.",2012,Q3,,,,,0.001,9.00E+07,2150000,,,,,,,,,
"LEAFBUYER TECHNOLOGIES, INC.",2018,Q2,243.5,,,,0.001,1.50E+08,,,,,,,-120174.7778,,-604371,
"LEAFBUYER TECHNOLOGIES, INC.",2018,Q3,,,,,0.001,1.50E+08,38551913,38441663,,,,-297737.4,,696.5,-814493.75,
LEARNING TREE INTERNATIONAL INC,2011,Q3,,,396500,39575000,,,13495718,13495718,,3910500,,,1903500,17648000,,13632750
LEARNING TREE INTERNATIONAL INC,2012,Q1,,,,38324000,,,,,,,,1899000,2890000,17322000,33326500,13506000
LEARNING TREE INTERNATIONAL INC,2012,Q3,,16663500,-306000,,1.00E-04,7.50E+07,13327317,13327317,-2910500,3354000,,,,17473500,28018000,13469250
LEARNING TREE INTERNATIONAL INC,2013,Q1,,,,34015000,1.00E-04,7.50E+07,13196354.5,,,1435000,,,,,,
"LEARNING TREE INTERNATIONAL, INC.",2013,Q3,,,-440500,,,,,,-5760500,,,,,,,
"LEARNING TREE INTERNATIONAL, INC.",2014,Q1,,,-127500,,1.00E-04,7.50E+07,13220011.5,,,,,,,,,
"LEARNING TREE INTERNATIONAL, INC.",2014,Q2,7236500,13972000,-36500,25502250,,,,13220011.5,,,3011000,-4480750,,,8036000,13216
"LEARNING TREE INTERNATIONAL, INC.",2016,Q1,,,,,,,,,,,,,-1850500,6542500,-3739500,
"LEARNING TREE INTERNATIONAL, INC.",2016,Q3,,,,18888500,1.00E-04,,,13224349,,,,,,,,13224000
"LEARNING TREE INTERNATIONAL, INC.",2017,Q1,5805000,8402000,,12020000,,7.50E+07,,,,,572000,,-1387000,5605500,,
"LEARNING TREE INTERNATIONAL, INC.",2017,Q2,6057500,8410500,,,,,13224349,13224349,,,,,,5436500,-16660000,13224000
"LEARNING TREE INTERNATIONAL, INC.",2018,Q1,6314000,,-833000,6495250,,,,,,,,,-92500,4450500,,
"LEE ENTERPRISES, INC",2012,Q3,27043500,,-5858000,,,,,,-75578250,,52370000,,,205162500,-332833500,47542750
"LEE ENTERPRISES, INC",2013,Q1,,,,22296750,,,,,,,16097500,,,,,
"LEE ENTERPRISES, INC",2013,Q2,,,-13528000,,,,,,-8985250,,31755500,,,181260500,,50096250
"LEE ENTERPRISES, INC",2013,Q3,,,,,,,,,,,,-712500,,,,
"LEE ENTERPRISES, INC",2014,Q1,,,7445500,,,,,,12969000,,,,,,,
"LEE ENTERPRISES, INC",2014,Q2,21523500,,7224500,,,,,,3959750,,27054500,4361000,,,-414388000,51991250
"LEE ENTERPRISES, INC",2014,Q3,,,7004000,15217500,,,,,978750,,,,58298500,,,
"LEE ENTERPRISES, INC",2015,Q1,,,,15716000,,,,,,,,,38849500,,,
"LEE ENTERPRISES, INC",2015,Q2,,,,,,,,,,,,7054250,,,,52494000
"LEE ENTERPRISES, INC",2015,Q3,22887500,,,,,,,,1667500,,,,57140000,152943000,-407564500,
"LEE ENTERPRISES, INC",2016,Q1,,,,13898500,,,,,10377500,,,,,,-385347500,
"LEE ENTERPRISES, INC",2016,Q2,18289500,,-16319000,13914000,,,,,,,22472500,15761500,37965500,,,
"LEE ENTERPRISES, INC",2016,Q3,,,,,,,,,13256500,,,,,,,52876250
"LEE ENTERPRISES, INC",2018,Q2,16357500,,-16072500,13977250,,,,,,,18383000,,,,-309903000,
"LEE ENTERPRISES, INC",2018,Q3,,,,,,,,,19388250,,27481000,19112250,,109404000,-307674000,54359750
"LEE ENTERPRISES, INC",2019,Q1,12417000,,-11807000,,,,,,22634500,,7791000,,,,-274510500,
"LEE ENTERPRISES, INC",2019,Q2,13204000,,,,,,,,11018750,,,,28953250,90132500,-275849500,55053000
"LEE ENTERPRISES, INC",2019,Q3,,,,11386500,,,,,,15371750,,13787250,,,,55125750
LENNAR CORP /NEW/,2017,Q2,,,,,,,,,262398750,,,,,,4422729500,222492500
LEPOTA INC,2019,Q2,0,,,,,,,,,,,-3377,-3377,,-29240,
"LEVEL BRANDS, INC.",2018,Q1,283123,,16750,2564786.75,,,,,,,,,-996638.5,95800.5,,
"LEVEL BRANDS, INC.",2018,Q2,240365,,-298288.5,,0.001,1.50E+08,,,,,72284,,,,-6121687,
"LF GEORGE HOLDINGS, INC.",2015,Q1,,,,135264.25,,,,,,,,,,,,
"LF GEORGE HOLDINGS, INC.",2015,Q2,,,,132780,,,,,,,,,,,,
"LIBERATED ENERGY, INC.",2013,Q1,,,,,,1.00E+08,,2.50E+07,,,,,,,,
"LIBERATED ENERGY, INC.",2014,Q2,,19500,,74879.66667,,,,,,,,-73043,,,-118182,
"LIBERATED ENERGY, INC.",2014,Q3,,19500,,59252,,1.00E+08,52136000,,,,,,-106106.4,,,
"LIBERATED ENERGY, INC.",2016,Q3,,,,46096.25,0.001,,,1456076.667,,,,,,,,
"LIBERATOR MEDICAL HOLDINGS, INC.",2011,Q3,,,,,,,46420500,46331500,,336750,5064000,,1558500,1785000,,43458500
"LIBERATOR MEDICAL HOLDINGS, INC.",2012,Q3,4998000,8950500,,,0.001,2.00E+08,48183500,48094500,,385000,6422000,,,1459000,-9347000,48001500
"LIBERATOR MEDICAL HOLDINGS, INC.",2013,Q1,,,,,0.001,2.00E+08,48249000,48160000,,181500,2216500,,,,,
"LIBERATOR MEDICAL HOLDINGS, INC.",2014,Q1,,,,,0.001,2.00E+05,52697,,,,,,,,,
"LIBERATOR MEDICAL HOLDINGS, INC.",2014,Q2,5327.5,8491.5,,8096.75,,,,52548.5,,,4855.5,2384.5,,,-4564.5,50346
"LIBERATOR MEDICAL HOLDINGS, INC.",2014,Q3,,8417000,,,0.001,2.00E+08,52800500,52623500,,337750,7349000,5251000,,,,51658000
"LIBERATOR MEDICAL HOLDINGS, INC.",2015,Q1,6136000,9236000,,12215750,0.001,,,,,145000,2599500,,,,,
"LIBERATOR MEDICAL HOLDINGS, INC.",2015,Q3,5776000,,,,0.001,2.00E+08,53664500,53310500,,300500,8134500,,,,,
LIBERTY COAL ENERGY CORP.,2011,Q3,,,,,,,,58233333.5,,,,,-125937.4,,,66771907
LIBERTY COAL ENERGY CORP.,2012,Q2,,,,126053,,,,,,,,,,,,
LIBERTY COAL ENERGY CORP.,2012,Q3,,,,,0.001,1.50E+09,59566667,59566667,,,,,,,,
LIBERTY COAL ENERGY CORP.,2013,Q1,,,,,0.001,1.50E+09,316287267,316287267,,,1548,-689145.3333,,,,
LIBERTY COAL ENERGY CORP.,2014,Q1,,,,,,,,,,,1407.333333,,,,,
LIBERTY ENERGY CORP.,2012,Q1,101527.5,,,58316.4,,,,,,,,-235583.3333,,,,61476802.5
"LICONT, CORP.",2012,Q1,,,,,,,,,,,,,,,,2590000
"LICONT, CORP.",2012,Q3,,,,,,,,,,,,,,,,2590000
"LICONT, CORP.",2014,Q1,,,,,0.001,7.50E+07,2620000,,,,,,,,,
"LICONT, CORP.",2014,Q2,,,,55847,,,,,,,,-171892.2,,,,2630000
"LIFE CLIPS, INC.",2017,Q3,,9062,,165483,,,,,,,,-230649,,,-18441606,
"LIFE CLIPS, INC.",2018,Q3,,,,187200.5,,,,,,,,-75735,-797523,,-17898926,
LIFEVANTAGE CORP,2016,Q3,,,,,,,,13983000,3039750,,,,,,,13787000
LIMONEIRA CO,2011,Q3,,,-712000,,,,11199850.5,11199850.5,4090750,1692500,,,5412000,51307500,,11204000
LIMONEIRA CO,2013,Q1,3939000,5904500,,,0.01,19900000,11220132.5,,,531000,,-2965500,,,,
LIMONEIRA CO,2013,Q2,4765500,,-2342500,,0.01,19900000,12254555.5,12605398.67,734250,811000,,,-759000,54040500,,11826750
LIMONEIRA CO,2014,Q1,,,484000,,0.01,19900000,14033200.5,,-1491000,,,-2170500,,,,
LIMONEIRA CO,2014,Q2,5269500,8798500,709000,,,,,,1517500,,,1223750,926750,89239500,18953000,13248000
LIMONEIRA CO,2014,Q3,,8612000,,,0.01,19900000,14047044,14047044,,1413750,,7838750,,,,13473250
LIMONEIRA CO,2015,Q2,,,,,,,,,,,,1671250,,,,14080500
LIMONEIRA CO,2016,Q1,6647000,8132000,,,,,14153528,,-3870000,,,,,,24827500,
LIMONEIRA CO,2017,Q2,,12051000,,,,,,14272616,2491000,,,,,,31605000,14209500
LIMONEIRA CO,2018,Q1,5680500,,8721500,,,,,,,1633500,,,,188393000,,
LIMONEIRA CO,2018,Q3,6555000,12970000,,,,,,,14619000,,,12162000,14950250,206521500,,14902250
LIMONEIRA CO,2019,Q2,,,,,0.01,,17709944,17709944,7416500,,,,2998000,228136500,55055500,15947500
LIMONEIRA CO,2020,Q1,,,,,,,17806943.5,17806943.5,,,,,,,,
"LINCOLNWAY ENERGY, LLC",2011,Q3,,,,3638193.25,,,,,,,6272802,,-483912.25,47464179.5,,
"LINCOLNWAY ENERGY, LLC",2012,Q1,,7253672,,2388045.25,,,,,,,,1037379,1149598.5,43799095,,
"LINCOLNWAY ENERGY, LLC",2012,Q2,,7330836,,2184685.25,,,,,,,,,,42906851.5,,
"LINCOLNWAY ENERGY, LLC",2012,Q3,,7192354.5,,,,,,,,,6078474,,-4283149.75,41947876,10744807,
"LINCOLNWAY ENERGY, LLC",2013,Q1,,,,,,,,,,,1965270.5,,,,,
"LINCOLNWAY ENERGY, LLC",2014,Q3,,4964961.5,,4771704.5,,,,,,,,,,,,
"LINCOLNWAY ENERGY, LLC",2016,Q1,,,,9084670,,,,,,,,,,,1353932,
"LINCOLNWAY ENERGY, LLC",2017,Q1,,,,,,,,,,,,,541436,,,
"LINCOLNWAY ENERGY, LLC",2017,Q2,,2992480.5,,,,,,,,,,,,,-137677,
"LINCOLNWAY ENERGY, LLC",2018,Q1,,,,934805,,,,,,,,,593440,41760658,,
"LINCOLNWAY ENERGY, LLC",2018,Q2,,,,,,,,,,,1974595.5,,204424.25,,1811825.5,
"LINCOLNWAY ENERGY, LLC",2019,Q2,,,,,,,,,,,,,,46465050,,
LINDSAY CORP,2012,Q1,,,3705666.667,95212750,,,,,,,,3603500,5846500,57411333.33,,12592000
LINDSAY CORP,2012,Q3,37979666.67,,4044333.333,,1,2.50E+07,18352000,,23702500,9102000,,,37889500,,311507333.3,12629000
LINDSAY CORP,2013,Q1,,,,128128750,1,2.50E+07,18531000,,,3127500,,,,,,
LINDSAY CORP,2013,Q2,,,1085333.333,129036750,1,2.50E+07,18553000,,20752500,6237500,,,31033750,56761666.67,,12759000
LINDSAY CORP,2014,Q1,,,-1528666.667,,1,2.50E+07,18620000,,12942500,,,12481000,,,,
LINDSAY CORP,2016,Q2,,,-14378333.33,141905500,,,18690666.67,,2277500,6265750,,,10833500,,,
LINDSAY CORP,2016,Q3,42059666.67,,,139112750,1,,,,,,,,,,,
LIQUIDITY SERVICES INC,2011,Q3,,,-2738500,55489250,,,29543218.5,27495950,,2329750,4045000,,6950750,7382500,,27387171
LIQUIDITY SERVICES INC,2012,Q1,,,,82031666.67,,,,,,,,,10016500,7451500,62893000,28800298.5
LIQUIDITY SERVICES INC,2012,Q3,7065000,9069500,41500,,0.001,1.20E+08,31327161.5,29993600,17201000,2706250,7358500,,34714500,,79705500,29334662.5
LIQUIDITY SERVICES INC,2013,Q1,,17875500,,75337000,0.001,1.20E+08,31319746,,,1756500,3871500,,,,,
LIQUIDITY SERVICES INC,2014,Q3,,24178500,556000,80041500,0.001,1.20E+08,32204222,30722733,22236750,3941750,,,37024000,11490500,,
LIQUIDITY SERVICES INC,2015,Q2,,,-5007500,,,,,,-12766000,,,,,,,
LIQUIDITY SERVICES INC,2016,Q1,9797000,6577666.667,,79434250,,,30289254.5,,-36013000,,,,,,8288500,
LIQUIDITY SERVICES INC,2017,Q1,,,-8890500,,,,31017001.5,,-7495000,,,,-7835500,14983500,-53237500,
LIQUIDITY SERVICES INC,2017,Q2,11151000,11212500,,,0.001,1.20E+08,,31065052,,2322250,,,,,,
LIQUIDITY SERVICES INC,2019,Q2,12492500,5522500,-6563500,,,,,,,,,,-7982250,17243000,-104370500,
"LITHIUM EXPLORATION GROUP, INC.",2012,Q3,,,,,0.001,5.00E+08,50535317.33,50535317.33,,,,,,,,
LIVE VENTURES INC,2016,Q1,,7578711.5,,5170682.5,,,16905401.5,,,,,,,,-46577169,
LIVE VENTURES INC,2016,Q2,,,,,,,,16881105.5,,518994,,,99409.75,12070924.5,,16353829.5
LIVE VENTURES INC,2017,Q1,7213715,,,,,1.00E+07,,2422540.5,,,,,2363160,,-28123016,2408749.5
LIVE VENTURES INC,2017,Q2,6749146.5,8917678,,,,,2453756.5,2423634.5,,,,,,17756433.5,-27202923,2429943
LIVE VENTURES INC,2017,Q3,,9855643.5,,2726796.75,,,,,,,,8914093.75,,17548170.5,-26139141,
LIVE VENTURES INC,2018,Q3,,,,2827875.5,,,,,,,,,7376642.5,25531059,-25637221,2069326.75
LIVE VENTURES INC,2019,Q2,13110129.5,,,,,,2088186,1923573.5,,2119258,,,4562989,25944500,-21652499.5,1951119
LIVEDEAL INC,2011,Q3,,,,,,,,662017.5,,566957.5,,,-3665686,304908,,651008.5
LIVEDEAL INC,2012,Q2,674730,583578.5,,1555825.25,,,,,,,,,,131402,,
LIVEDEAL INC,2013,Q1,,,,,0.001,1.00E+07,2686585,2686585,,66423,,,,,,
LIVEDEAL INC,2014,Q3,,453656.75,,,0.001,3.00E+07,12855442.5,12855442.5,,266287,,-2441419.5,,,,
"LOAD GUARD LOGISTICS, INC.",2013,Q2,,,,,,1.00E+08,2837500,2837500,,,4381.333333,,,69471,,
"LOAD GUARD LOGISTICS, INC.",2014,Q1,,,,,0.001,1.00E+08,3623500,,,,,,,,,
"LOAD GUARD LOGISTICS, INC.",2014,Q3,,25933,,,0.001,1.00E+08,3623500,3623500,,,,483.4,,,,
"LOCATION BASED TECHNOLOGIES, INC.",2012,Q1,,431165,,1155797.5,,,,191570055,,,,-3829930.667,-1194349.5,230772.2,,136821735.8
"LOCATION BASED TECHNOLOGIES, INC.",2012,Q2,,401411,,,,,,,,,,,,,,
"LOCATION BASED TECHNOLOGIES, INC.",2012,Q3,,333871,,,0.001,3.00E+08,192728266.5,192728266.5,,,84673,,,261094,-35884280.33,154842573.5
"LOCATION BASED TECHNOLOGIES, INC.",2013,Q1,,140036,,1261683.25,0.001,3.00E+08,100377694.8,,,,37125,-2698118.5,,,,
"LOCATION BASED TECHNOLOGIES, INC.",2013,Q2,,,-252,1062211.75,0.001,3.00E+08,100855711.8,200836423.5,-2699060,,68426,,-2608769.5,183957,,
"LOCATION BASED TECHNOLOGIES, INC.",2014,Q1,,,,,0.001,3.00E+08,211984178,,,,,-2235547,,,,
"LOCATION BASED TECHNOLOGIES, INC.",2014,Q2,,56333.5,,294348.75,,,,,,,58256,,-2000738.75,97038.5,-57258436.5,
LOGIC DEVICES INC,2012,Q2,,99250,,84275,,,,,,,,,,,,
LOUISIANA FOOD CO,2011,Q3,,,,,,,,26390000,,,328.5,,,,,
LRAD CORP,2011,Q3,,,,,,,,31479551.5,,,135513,,1348580.75,99362,,31036417
